index,mesh_name,base_name,source_class,semantic_group,vertices,triangles,material,uv_layers,color_attributes,min_x,min_y,min_z,max_x,max_y,max_z,geometry_hash,engine_action
0,g11021_build1,g11021_build1,WMB,Building visual,2425,819,mas_breakconcrete02_AAAx_tga,UVMap1;UVMap2;UVMap3;UVMap4,Col,72.5663070678711,-46.76853942871094,-6.094290256500244,101.48880767822266,-17.96088981628418,2.022559881210327,ee5f92f4ec71d8115869576c2c746179f1a2de651e2d2ff811364e068a702946,공간 chunk·material 단위 정적 배치
1,g11021_build1-LOD1,g11021_build1-LOD1,WMB,Internal LOD1 visual,20,10,lowbuildingmodel_aaax_tga1,UVMap1;UVMap2;UVMap3;UVMap4,Col,97.15388488769531,-55.2646369934082,-28.29741859436035,146.9888916015625,-15.516550064086914,52.48565673828125,60bfb6a062a407bc8bb4f198d66b170e441672260224353f05c9b095be520365,대응 LOD0 submesh와 묶어 거리 전환
2,g11021_build1-LOD1.001,g11021_build1-LOD1,WMB,Internal LOD1 visual,66,66,mas_low_building01_aaax_tga1,UVMap1;UVMap2;UVMap3;UVMap4,Col,72.45490264892578,-46.73725128173828,-2.2152698040008545,99.26239776611328,-18.11256980895996,45.87705993652344,b130cf98d1dbc1787d2396e3322a3fddf5c15f03048a5a02a7cab5ae0c579fe3,대응 LOD0 submesh와 묶어 거리 전환
3,g11021_build1.001,g11021_build1,WMB,Building visual,488,246,os11_ruinsparts00_floor_aaax_tga1,UVMap1;UVMap2;UVMap3;UVMap4,Col,72.79634857177734,-46.5389289855957,19.13913917541504,101.25821685791016,-18.18998908996582,45.40330123901367,8ddf6dec1292c021484760833bcc7f0d285f7f32e6d064605718fc368f5c0165,공간 chunk·material 단위 정적 배치
4,g11021_build1.002,g11021_build1,WMB,Building visual,180,90,os11_ruinsparts00_floor_aaax_tga1,UVMap1;UVMap2;UVMap3;UVMap4,Col,73.25728607177734,-46.077919006347656,9.097399711608887,100.79736328125,-18.650930404663086,15.996590614318848,5a5d523bbdac119ae6c44f722ba0866ac60bc994602296590606d699a110fc26,공간 chunk·material 단위 정적 배치
5,g11021_build1.003,g11021_build1,WMB,Building visual,282,140,os11_ruinsparts00_floor_aaax_tga1,UVMap1;UVMap2;UVMap3;UVMap4,Col,72.68228912353516,-46.767059326171875,-4.773069858551025,101.48880767822266,-17.95842933654785,8.876290321350098,1f767bd96a0ec73d0e237e863a7ad2a3c882810e8c5de1c4ac2fb1e4bb1cde9a,공간 chunk·material 단위 정적 배치
6,g11021_build1.004,g11021_build1,WMB,Building visual,3386,1672,os11_ruinsparts00_parts_aaax_tga1,UVMap1;UVMap2;UVMap3;UVMap4,Col,72.33587646484375,-46.99939727783203,15.944059371948242,101.71868896484375,-17.72947883605957,46.31618118286133,99cb64993c6071b73bd2d95d93c4edb303a98f7c854f1759eb8fd32fca704a56,공간 chunk·material 단위 정적 배치
7,g11021_build1.005,g11021_build1,WMB,Building visual,1190,586,os11_ruinsparts00_parts_aaax_tga1,UVMap1;UVMap2;UVMap3;UVMap4,Col,72.63139343261719,-46.703861236572266,8.869199752807617,94.59329986572266,-18.026199340820312,17.70707893371582,e4551acc5ee1d884744732921f27cff5d3253d5643e8d6d034456ccf60012b08,공간 chunk·material 단위 정적 배치
8,g11021_build1.006,g11021_build1,WMB,Building visual,2896,1428,os11_ruinsparts00_parts_aaax_tga1,UVMap1;UVMap2;UVMap3;UVMap4,Col,72.63139343261719,-46.703861236572266,-4.955639839172363,99.60272216796875,-18.026199340820312,8.876209259033203,3ad19ee0164d1589a01e1050e5f10bbd8e658af04735c16496f11f6cdb47253f,공간 chunk·material 단위 정적 배치
9,g11021_build1.007,g11021_build1,WMB,Building visual,1189,590,os11_ruinsparts00_wall01_aaax_tga1,UVMap1;UVMap2;UVMap3;UVMap4,Col,72.56634521484375,-46.76932144165039,15.71580982208252,101.48876953125,-17.95952033996582,45.40330123901367,63c634724441e6770bb39d6e2c27ca41ea3792b2d35a34ad22705e5f955aa67e,공간 chunk·material 단위 정적 배치
10,g11021_build1.008,g11021_build1,WMB,Building visual,550,264,os11_ruinsparts00_wall01_aaax_tga1,UVMap1;UVMap2;UVMap3;UVMap4,Col,72.56587982177734,-46.7693977355957,2.0039100646972656,101.48868560791016,-17.95952033996582,15.724419593811035,2b1368812dd512f8965ccadad98aa644c9d31567e684b1006f13937ce1d09bc8,공간 chunk·material 단위 정적 배치
11,g11021_build1.009,g11021_build1,WMB,Building visual,1905,894,os11_ruinsparts00_wall01_aaax_tga1,UVMap1;UVMap2;UVMap3;UVMap4,Col,72.5663070678711,-46.7693977355957,-4.861469745635986,101.48880767822266,-17.95956039428711,8.869219779968262,fc7709920a138e6d0ec1a16883af78a27b9b2222a0fd8d407e792c5c2d045323,공간 chunk·material 단위 정적 배치
12,g11021_build1.010,g11021_build1,WMB,Building visual,2584,1338,os11_ruinsparts00_wall02_aaax_tga1,UVMap1;UVMap2;UVMap3;UVMap4,Col,72.81591796875,-46.51979064941406,15.728299140930176,99.4325942993164,-18.209169387817383,43.13977813720703,d27c554bb062bf2577beab3d66889f0f314d3add5459f8c93a7cd87163a14655,공간 chunk·material 단위 정적 배치
