blend_file,domain,object_name,type,data_name,collections,semantic_base,lod_name,lod_level,vertices,triangles,materials,uv_layers,color_attributes,modifiers,parent,instance_type,instance_collection,lay_asset_key,lay_model,boneSetIndex,colTreeNodeIndex,unknownWorldDataIndex,col_type,surface_type,col_modifier,location,rotation_euler,scale
CityOfRuinEntry.blend,COL_TREE,0_1_2_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[30.520118713378906,72.15719604492188,0.5976982116699219]","[0.0,0.0,0.0]","[104.77922058105469,230.40133666992188,59.58576965332031]"
CityOfRuinEntry.blend,WMB_TREE,0_1_2_wmb,EMPTY,,wmb_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[31.32977294921875,-11.123931884765625,42.867393493652344]","[0.0,0.0,0.0]","[342.6132507324219,512.8740844726562,134.0790252685547]"
CityOfRuinEntry.blend,COL_TREE,100_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-16.727779388427734,-46.19908905029297,-19.500429153442383]","[0.0,0.0,0.0]","[1.8371901512145996,9.98577880859375,0.2017803192138672]"
CityOfRuinEntry.blend,COL_TREE,101_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-21.749568939208984,-52.94439697265625,-19.500429153442383]","[0.0,0.0,0.0]","[3.381220817565918,3.4042186737060547,0.2017803192138672]"
CityOfRuinEntry.blend,COL_TREE,102_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-22.937522888183594,-38.803680419921875,-19.491209030151367]","[0.0,0.0,0.0]","[4.97353458404541,2.6463489532470703,0.2003803253173828]"
CityOfRuinEntry.blend,COL_TREE,103_105_106_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-45.982765197753906,-49.521881103515625,2.2972793579101562]","[0.0,0.0,0.0]","[22.44806671142578,6.75892448425293,21.999488830566406]"
CityOfRuinEntry.blend,COL_TREE,104_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-45.90087127685547,-23.775985717773438,-19.473159790039062]","[0.0,0.0,0.0]","[22.52996063232422,20.689746856689453,0.23843002319335938]"
CityOfRuinEntry.blend,COL_TREE,105_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-45.86724853515625,-52.85095977783203,2.308685302734375]","[0.0,0.0,0.0]","[22.332550048828125,3.4298458099365234,21.98808479309082]"
CityOfRuinEntry.blend,COL_TREE,106_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-47.50730514526367,-46.110572814941406,-19.492225646972656]","[0.0,0.0,0.0]","[20.923526763916016,3.347614288330078,0.20998477935791016]"
CityOfRuinEntry.blend,COL_TREE,107_109_110_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-20.07663917541504,-43.23857879638672,-19.359886169433594]","[0.0,0.0,0.0]","[11.093330383300781,13.597150802612305,0.6345853805541992]"
CityOfRuinEntry.blend,COL_TREE,108_115_116_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-21.281789779663086,-40.67426300048828,2.2336349487304688]","[0.0,0.0,0.0]","[12.298479080200195,16.161470413208008,22.063133239746094]"
CityOfRuinEntry.blend,COL_TREE,109_111_112_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-20.07663917541504,-43.23857879638672,-19.220218658447266]","[0.0,0.0,0.0]","[11.093330383300781,13.597150802612305,0.4949197769165039]"
CityOfRuinEntry.blend,WMB_TREE,10_-1_-1_wmb,EMPTY,,wmb_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[183.02676391601562,-238.63563537597656,-21.611053466796875]","[0.0,0.0,0.0]","[142.72142028808594,223.4585418701172,39.711082458496094]"
CityOfRuinEntry.blend,COL_TREE,10_25_26_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[53.12416076660156,-91.41929626464844,-13.988506317138672]","[0.0,0.0,0.0]","[46.91773223876953,46.95770263671875,44.99956512451172]"
CityOfRuinEntry.blend,COL_TREE,110_113_114_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-28.339599609375,-33.271453857421875,-19.43896484375]","[0.0,0.0,0.0]","[2.0678701400756836,1.61767578125,0.5555057525634766]"
CityOfRuinEntry.blend,COL_TREE,111_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-20.07663917541504,-43.23857879638672,-19.220218658447266]","[0.0,0.0,0.0]","[11.093330383300781,13.597150802612305,0.4949197769165039]"
CityOfRuinEntry.blend,COL_TREE,112_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-26.162078857421875,-33.75807571411133,-19.27829933166504]","[0.0,0.0,0.0]","[0.7569503784179688,1.5756263732910156,0.33880043029785156]"
CityOfRuinEntry.blend,COL_TREE,113_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-27.274578094482422,-33.418792724609375,-19.43896484375]","[0.0,0.0,0.0]","[0.945469856262207,1.4703350067138672,0.5555057525634766]"
CityOfRuinEntry.blend,COL_TREE,114_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-28.339599609375,-32.8661994934082,-19.423046112060547]","[0.0,0.0,0.0]","[2.0678701400756836,1.2124214172363281,0.5351247787475586]"
CityOfRuinEntry.blend,COL_TREE,115_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-29.437332153320312,-33.592994689941406,-19.29814910888672]","[0.0,0.0,0.0]","[1.8410348892211914,1.9392147064208984,0.39745044708251953]"
CityOfRuinEntry.blend,COL_TREE,116_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-21.281789779663086,-40.67426300048828,2.2336349487304688]","[0.0,0.0,0.0]","[12.298479080200195,16.161470413208008,22.063133239746094]"
CityOfRuinEntry.blend,COL_TREE,117_119_120_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[50.859535217285156,-3.584108352661133,-0.13306808471679688]","[0.0,0.0,0.0]","[84.43980407714844,29.186559677124023,52.22013854980469]"
CityOfRuinEntry.blend,COL_TREE,118_175_176_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[46.38096237182617,-3.1855545043945312,2.9453048706054688]","[0.0,0.0,0.0]","[86.79019165039062,101.98077392578125,49.14176559448242]"
CityOfRuinEntry.blend,COL_TREE,119_121_122_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[50.859535217285156,-3.584108352661133,-0.13306808471679688]","[0.0,0.0,0.0]","[84.43980407714844,29.186559677124023,52.22013854980469]"
CityOfRuinEntry.blend,WMB_TREE,11_-1_-1_wmb,EMPTY,,wmb_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[181.1633758544922,-275.1963806152344,-35.82913589477539]","[0.0,0.0,0.0]","[140.3643798828125,240.68026733398438,44.845523834228516]"
CityOfRuinEntry.blend,COL_TREE,11_13_14_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[57.59089660644531,-119.38072204589844,-3.45050048828125]","[0.0,0.0,0.0]","[56.55918502807617,38.8634147644043,55.53757095336914]"
CityOfRuinEntry.blend,COL_TREE,120_149_150_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-16.96103286743164,-15.095874786376953,0.5623397827148438]","[0.0,0.0,0.0]","[15.617213249206543,17.65438461303711,20.560699462890625]"
CityOfRuinEntry.blend,COL_TREE,121_123_124_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[83.0917739868164,-3.581310272216797,-0.13306808471679688]","[0.0,0.0,0.0]","[52.20757293701172,29.183761596679688,52.22013854980469]"
CityOfRuinEntry.blend,COL_TREE,122_137_138_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[1.4887046813964844,-11.453289031982422,0.20521926879882812]","[0.0,0.0,0.0]","[35.068973541259766,21.317378997802734,24.091548919677734]"
CityOfRuinEntry.blend,COL_TREE,123_125_126_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[84.40174865722656,-3.172504425048828,-0.13306808471679688]","[0.0,0.0,0.0]","[50.8975944519043,28.77495574951172,52.22013854980469]"
CityOfRuinEntry.blend,COL_TREE,124_131_132_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[38.6566047668457,-21.727920532226562,-12.579719543457031]","[0.0,0.0,0.0]","[7.772404670715332,11.037151336669922,11.193790435791016]"
CityOfRuinEntry.blend,COL_TREE,125_127_128_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[87.04351806640625,2.8142967224121094,-0.13306808471679688]","[0.0,0.0,0.0]","[48.255821228027344,22.78815460205078,52.22013854980469]"
CityOfRuinEntry.blend,COL_TREE,126_129_130_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[44.75121307373047,-14.015135765075684,15.058094024658203]","[0.0,0.0,0.0]","[11.24705696105957,17.93232536315918,34.45808410644531]"
CityOfRuinEntry.blend,COL_TREE,127_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[87.82000732421875,9.348609924316406,-0.13306808471679688]","[0.0,0.0,0.0]","[47.479331970214844,16.253841400146484,52.22013854980469]"
CityOfRuinEntry.blend,COL_TREE,128_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[48.64133071899414,-5.720404624938965,15.058094024658203]","[0.0,0.0,0.0]","[9.853630065917969,14.253454208374023,34.45808410644531]"
CityOfRuinEntry.blend,COL_TREE,129_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[38.63954162597656,-17.103641510009766,-5.194729804992676]","[0.0,0.0,0.0]","[5.135381698608398,14.843820571899414,8.53125]"
CityOfRuinEntry.blend,WMB_TREE,12_-1_-1_wmb,EMPTY,,wmb_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[92.74769592285156,-52.3036994934082,-4.806929588317871]","[0.0,0.0,0.0]","[53.439762115478516,41.079219818115234,13.821660041809082]"
CityOfRuinEntry.blend,COL_TREE,12_19_20_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[32.87911605834961,-65.50509643554688,14.614295959472656]","[0.0,0.0,0.0]","[26.672685623168945,31.53501319885254,34.901885986328125]"
CityOfRuinEntry.blend,COL_TREE,130_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[45.38743591308594,-14.015135765075684,15.058094024658203]","[0.0,0.0,0.0]","[10.610836029052734,17.93232536315918,34.45808410644531]"
CityOfRuinEntry.blend,COL_TREE,131_133_134_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[38.6566047668457,-21.727920532226562,-8.75810432434082]","[0.0,0.0,0.0]","[7.772404670715332,11.037151336669922,7.3721747398376465]"
CityOfRuinEntry.blend,COL_TREE,132_135_136_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[38.41019058227539,-24.998519897460938,-14.315409660339355]","[0.0,0.0,0.0]","[4.779541015625,7.764629364013672,9.458100318908691]"
CityOfRuinEntry.blend,COL_TREE,133_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[41.81633758544922,-21.661376953125,-8.75810432434082]","[0.0,0.0,0.0]","[4.612668991088867,10.970605850219727,7.3721747398376465]"
CityOfRuinEntry.blend,COL_TREE,134_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[37.41486358642578,-22.593250274658203,-8.58084487915039]","[0.0,0.0,0.0]","[6.530665397644043,10.171821594238281,7.159944534301758]"
CityOfRuinEntry.blend,COL_TREE,135_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[38.41019058227539,-24.998519897460938,-13.113525390625]","[0.0,0.0,0.0]","[4.779541015625,7.764629364013672,8.256216049194336]"
CityOfRuinEntry.blend,COL_TREE,136_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[38.0130615234375,-26.749753952026367,-20.402198791503906]","[0.0,0.0,0.0]","[4.382413864135742,4.680503845214844,3.371310234069824]"
CityOfRuinEntry.blend,COL_TREE,137_139_140_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[20.74866485595703,-11.453289031982422,-7.804454803466797]","[0.0,0.0,0.0]","[15.809014320373535,21.317378997802734,16.08187484741211]"
CityOfRuinEntry.blend,COL_TREE,138_145_146_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-11.364645004272461,-14.656009674072266,0.20521926879882812]","[0.0,0.0,0.0]","[22.21562385559082,18.01280975341797,24.091548919677734]"
CityOfRuinEntry.blend,COL_TREE,139_141_142_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[20.74866485595703,-11.453289031982422,-6.515194892883301]","[0.0,0.0,0.0]","[15.809014320373535,21.317378997802734,14.792614936828613]"
CityOfRuinEntry.blend,COL_TREE,13_15_16_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[73.67645263671875,-119.38072204589844,-3.45050048828125]","[0.0,0.0,0.0]","[40.47362518310547,38.8634147644043,55.53757095336914]"
CityOfRuinEntry.blend,WMB_TREE,13_15_16_wmb,EMPTY,,wmb_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[186.0634307861328,-279.2867736816406,-48.97605895996094]","[0.0,0.0,0.0]","[147.16110229492188,244.71127319335938,42.235572814941406]"
CityOfRuinEntry.blend,COL_TREE,140_143_144_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[20.696075439453125,-11.453289031982422,-9.259500503540039]","[0.0,0.0,0.0]","[15.756424903869629,21.317378997802734,14.626829147338867]"
CityOfRuinEntry.blend,COL_TREE,141_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[20.74866485595703,-11.449529647827148,-5.183684349060059]","[0.0,0.0,0.0]","[15.809014320373535,21.31361961364746,13.461104393005371]"
CityOfRuinEntry.blend,COL_TREE,142_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[21.75321388244629,-26.288925170898438,-16.8399658203125]","[0.0,0.0,0.0]","[14.548054695129395,6.481743812561035,4.4678449630737305]"
CityOfRuinEntry.blend,COL_TREE,143_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[24.63818359375,-15.147375106811523,-17.783405303955078]","[0.0,0.0,0.0]","[11.814314842224121,17.38198471069336,3.5863356590270996]"
CityOfRuinEntry.blend,COL_TREE,144_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[11.97661018371582,-11.453289031982422,-9.259500503540039]","[0.0,0.0,0.0]","[7.036960601806641,21.317378997802734,14.626829147338867]"
CityOfRuinEntry.blend,COL_TREE,145_147_148_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-11.37060546875,-16.232589721679688,0.9289588928222656]","[0.0,0.0,0.0]","[22.20966339111328,16.436229705810547,23.367809295654297]"
CityOfRuinEntry.blend,COL_TREE,146_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[3.0168299674987793,-9.836689949035645,-2.8777103424072266]","[0.0,0.0,0.0]","[7.8341498374938965,13.193490028381348,21.00861930847168]"
CityOfRuinEntry.blend,COL_TREE,147_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-11.396293640136719,-16.189529418945312,4.752385139465332]","[0.0,0.0,0.0]","[22.183975219726562,16.393169403076172,19.544384002685547]"
CityOfRuinEntry.blend,COL_TREE,148_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-11.37060546875,-16.232589721679688,0.9289588928222656]","[0.0,0.0,0.0]","[22.20966339111328,16.436229705810547,23.367809295654297]"
CityOfRuinEntry.blend,COL_TREE,149_151_152_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-14.654510498046875,-15.095874786376953,0.6702651977539062]","[0.0,0.0,0.0]","[13.310689926147461,17.65438461303711,20.452774047851562]"
CityOfRuinEntry.blend,COL_TREE,14_17_18_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[25.006067276000977,-111.94044494628906,-7.080554962158203]","[0.0,0.0,0.0]","[23.97435760498047,18.6444091796875,42.013633728027344]"
CityOfRuinEntry.blend,WMB_TREE,14_17_18_wmb,EMPTY,,wmb_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[91.43730163574219,-55.4077033996582,-19.818042755126953]","[0.0,0.0,0.0]","[52.58744812011719,44.19670486450195,13.078124046325684]"
CityOfRuinEntry.blend,COL_TREE,150_163_164_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-29.109928131103516,-30.046897888183594,-19.237518310546875]","[0.0,0.0,0.0]","[3.4683189392089844,2.692500114440918,0.7608404159545898]"
CityOfRuinEntry.blend,COL_TREE,151_153_154_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-13.398730278015137,-15.095874786376953,0.7226390838623047]","[0.0,0.0,0.0]","[12.054909706115723,17.65438461303711,20.40039825439453]"
CityOfRuinEntry.blend,COL_TREE,152_159_160_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-26.05389404296875,-28.92901611328125,-19.216014862060547]","[0.0,0.0,0.0]","[1.9113054275512695,3.791874885559082,0.5664949417114258]"
CityOfRuinEntry.blend,COL_TREE,153_155_156_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-13.289705276489258,-15.095874786376953,0.7226390838623047]","[0.0,0.0,0.0]","[11.945884704589844,17.65438461303711,20.40039825439453]"
CityOfRuinEntry.blend,COL_TREE,154_157_158_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-24.138328552246094,-28.687335968017578,-19.142200469970703]","[0.0,0.0,0.0]","[1.3153104782104492,3.55019474029541,0.39497947692871094]"
CityOfRuinEntry.blend,COL_TREE,155_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-11.858260154724121,-14.403335571289062,0.7226390838623047]","[0.0,0.0,0.0]","[10.514439582824707,16.96184539794922,20.40039825439453]"
CityOfRuinEntry.blend,COL_TREE,156_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-22.983638763427734,-30.69678497314453,-19.167579650878906]","[0.0,0.0,0.0]","[2.251950263977051,2.0534744262695312,0.4422798156738281]"
CityOfRuinEntry.blend,COL_TREE,157_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-23.907588958740234,-30.79057502746582,-19.142200469970703]","[0.0,0.0,0.0]","[1.0845708847045898,1.4469547271728516,0.39497947692871094]"
CityOfRuinEntry.blend,COL_TREE,158_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-24.1500244140625,-27.502666473388672,-19.13255500793457]","[0.0,0.0,0.0]","[1.303614616394043,2.365525245666504,0.34447479248046875]"
CityOfRuinEntry.blend,COL_TREE,159_161_162_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-26.074615478515625,-31.065654754638672,-19.230939865112305]","[0.0,0.0,0.0]","[1.890584945678711,1.6552352905273438,0.4363899230957031]"
CityOfRuinEntry.blend,COL_TREE,15_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[73.67645263671875,-128.53880310058594,-3.45050048828125]","[0.0,0.0,0.0]","[40.47362518310547,29.705341339111328,55.53757095336914]"
CityOfRuinEntry.blend,WMB_TREE,15_-1_-1_wmb,EMPTY,,wmb_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[186.5732421875,-279.30609130859375,-48.97605895996094]","[0.0,0.0,0.0]","[146.65130615234375,244.69195556640625,42.235572814941406]"
CityOfRuinEntry.blend,COL_TREE,160_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-25.0745792388916,-27.891159057617188,-19.216014862060547]","[0.0,0.0,0.0]","[0.9319896697998047,2.7540197372436523,0.5664949417114258]"
CityOfRuinEntry.blend,COL_TREE,161_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-26.074615478515625,-31.610851287841797,-19.230939865112305]","[0.0,0.0,0.0]","[1.890584945678711,1.1100397109985352,0.4363899230957031]"
CityOfRuinEntry.blend,COL_TREE,162_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-25.18981170654297,-30.98537826538086,-19.165864944458008]","[0.0,0.0,0.0]","[0.9470300674438477,1.5749588012695312,0.37131500244140625]"
CityOfRuinEntry.blend,COL_TREE,163_165_166_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-27.59703826904297,-30.045082092285156,-19.134593963623047]","[0.0,0.0,0.0]","[1.955430030822754,2.6906843185424805,0.6579151153564453]"
CityOfRuinEntry.blend,COL_TREE,164_171_172_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-30.01938247680664,-30.085063934326172,-19.237518310546875]","[0.0,0.0,0.0]","[2.558863639831543,2.6543350219726562,0.7608404159545898]"
CityOfRuinEntry.blend,COL_TREE,165_167_168_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-27.005708694458008,-30.045082092285156,-19.07625961303711]","[0.0,0.0,0.0]","[1.3640995025634766,2.6906843185424805,0.5995798110961914]"
CityOfRuinEntry.blend,COL_TREE,166_169_170_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-27.607959747314453,-30.028465270996094,-19.26223373413086]","[0.0,0.0,0.0]","[1.9445104598999023,2.674065589904785,0.5302743911743164]"
CityOfRuinEntry.blend,COL_TREE,167_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-26.598739624023438,-30.95709991455078,-19.133399963378906]","[0.0,0.0,0.0]","[0.9558801651000977,1.6495704650878906,0.43206024169921875]"
CityOfRuinEntry.blend,COL_TREE,168_-1_-1_col,EMPTY,,col_colTreeNodes,,,,,,,,,,,NONE,,,,,,,,,,"[-27.005708694458008,-30.045082092285156,-19.07625961303711]","[0.0,0.0,0.0]","[1.3640995025634766,2.6906843185424805,0.5995798110961914]"
