"blend_file","wmb_collection","object_name","high_dtt","lod_name","lod_level","vertices","triangles","material","uv_layers","color_attributes","colTreeNodeIndex","unknownWorldDataIndex"
"CityOfRuinEntry_LOD.blend","g20608","g10821_distantbuildings02","g10821","LOD0","0","54126","23652","NonGround2","UVMap1|UVMap2|UVMap3|UVMap4","Col","-1","17"
"CityOfRuinEntry_LOD.blend","g20608","g10821_MtrRobot3","g10821","LOD0","0","8992","7160","NonGround2","UVMap1|UVMap2|UVMap3|UVMap4","Col","-1","0"
"CityOfRuinEntry_LOD.blend","g20608","g10821_MtrRobot3.001","g10821","LOD0","0","1178","896","OneBitMask2","UVMap1|UVMap2|UVMap3|UVMap4","Col","-1","0"
"CityOfRuinEntry_LOD.blend","g20608","g10921_MtRobot5","g10921","LOD0","0","4182","1668","NonGround3","UVMap1|UVMap2|UVMap3|UVMap4","Col","-1","11"
"CityOfRuinEntry_LOD.blend","g20608","g10921_MtRobot5.001","g10921","LOD0","0","2678","1027","OneBitMask3","UVMap1|UVMap2|UVMap3|UVMap4","Col","-1","11"
"CityOfRuinEntry_LOD.blend","g20608","g10922_buildings01","g10922","LOD0","0","6281","2706","NonGround3","UVMap1|UVMap2|UVMap3|UVMap4","Col","-1","15"
"CityOfRuinEntry_LOD.blend","g20608","g10922_buildings01.001","g10922","LOD0","0","3227","1415","OneBitMask3","UVMap1|UVMap2|UVMap3|UVMap4","Col","-1","15"
"CityOfRuinEntry_LOD.blend","g20608","g10922_buildings01.002","g10922","LOD0","0","5556","3284","kaj_tree_leaf_aaa1_5","UVMap1|UVMap2|UVMap3|UVMap4","Col","-1","15"
"CityOfRuinEntry_LOD.blend","g20608","g10922_buildings02","g10922","LOD0","0","4990","2169","NonGround3","UVMap1|UVMap2|UVMap3|UVMap4","Col","-1","16"
"CityOfRuinEntry_LOD.blend","g20608","g10922_buildings02.001","g10922","LOD0","0","4115","1790","OneBitMask3","UVMap1|UVMap2|UVMap3|UVMap4","Col","-1","16"
"CityOfRuinEntry_LOD.blend","g20608","g10922_buildings02.002","g10922","LOD0","0","628","372","kaj_tree_leaf_aaa1_5","UVMap1|UVMap2|UVMap3|UVMap4","Col","-1","16"
"CityOfRuinEntry_LOD.blend","g20608","g10922_buildings03","g10922","LOD0","0","1883","990","NonGround3","UVMap1|UVMap2|UVMap3|UVMap4","Col","-1","14"
"CityOfRuinEntry_LOD.blend","g20608","g10922_buildings03.001","g10922","LOD0","0","513","227","OneBitMask3","UVMap1|UVMap2|UVMap3|UVMap4","Col","-1","14"
"CityOfRuinEntry_LOD.blend","g20608","g10922_MtrRobot6","g10922","LOD0","0","6963","3406","NonGround3","UVMap1|UVMap2|UVMap3|UVMap4","Col","-1","14"
"CityOfRuinEntry_LOD.blend","g20608","g10922_MtrRobot6.001","g10922","LOD0","0","10509","4685","OneBitMask3","UVMap1|UVMap2|UVMap3|UVMap4","Col","-1","14"
"CityOfRuinEntry_LOD.blend","g20608","g10922_MtrRobot6.002","g10922","LOD0","0","868","529","kaj_tree_leaf_aaa1_5","UVMap1|UVMap2|UVMap3|UVMap4","Col","-1","14"
"CityOfRuinEntry_LOD.blend","g20608","g11021_g11021_build1","g11021","LOD0","0","10900","5434","os11_ruinsparts00_wall01_aaax_tga1_LT_LT_LT_LT","UVMap1|UVMap2|UVMap3|UVMap4","Col","-1","3"
"CityOfRuinEntry_LOD.blend","g20608","g11021_g11021_build1.001","g11021","LOD0","0","5597","2958","os11_ruinsparts00_wall02_aaax_tga1_LT_LT","UVMap1|UVMap2|UVMap3|UVMap4","Col","-1","3"
"CityOfRuinEntry_LOD.blend","g20608","g11021_g11021_build1.002","g11021","LOD0","0","30210","11851","yam_build01_aaax_LT_LT","UVMap1|UVMap2|UVMap3|UVMap4","Col","-1","3"
"CityOfRuinEntry_LOD.blend","g20608","g11021_g11021_build2","g11021","LOD0","0","20","10","lowbuildingmodel_aaax_tga2","UVMap1|UVMap2|UVMap3|UVMap4","Col","-1","-1"
"CityOfRuinEntry_LOD.blend","g20608","g11021_g11021_build3","g11021","LOD0","0","1404","614","NonGround3","UVMap1|UVMap2|UVMap3|UVMap4","Col","-1","4"
"CityOfRuinEntry_LOD.blend","g20608","g11021_g11021_build4","g11021","LOD0","0","1083","478","NonGround9","UVMap1|UVMap2|UVMap3|UVMap4","Col","-1","5"
"CityOfRuinEntry_LOD.blend","g20608","g11021_g11021_build4.001","g11021","LOD0","0","69","66","mas_low_building01_aaax_tga2","UVMap1|UVMap2|UVMap3|UVMap4","Col","-1","5"
"CityOfRuinEntry_LOD.blend","g20608","g11021_g11021_build5","g11021","LOD0","0","568","210","NonGround3","UVMap1|UVMap2|UVMap3|UVMap4","Col","-1","6"
