Level,Tag,Path,PosX,PosY,PosZ,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ,AnimationPresetGuid
3,p10000,Models/p10000/p10000.model,0,0,0,0,180,0,0.01,0.01,0.01,
3,CityOfRuinEntry,Models/World/CityOfRuinEntry/CityOfRuinEntry.model,0,0,0,0,0,0,1,1,1,
3,CityOfRuinBridge,Models/World/CityOfRuinBridge/CityOfRuinBridge.model,0,0,0,0,0,0,1,1,1,
3,wp0070,Models/wp0070/wp0070.model,0,0,0,0,180,0,0.01,0.01,0.01,
3,wp0220,Models/wp0220/wp0220.model,0,0,0,0,180,0,0.01,0.01,0.01,
3,wp3000,Models/wp3000/wp3000.model,0,0,0,0,180,0,0.01,0.01,0.01,
3,em3100,Models/em3100/em3100.model,0,0,0,0,180,0,0.01,0.01,0.01,
3,candy,Models/Candy/Candy.model,0,0,0,0,0,0,1,1,1,
3,em0010,Models/em0010/em0010.model,0,0,0,0,180,0,0.01,0.01,0.01,
3,em3000,Models/em3000/em3000.model,0,0,0,0,180,0,0.01,0.01,0.01,
3,em3001,Models/em3000/em3001.model,0,0,0,0,180,0,0.01,0.01,0.01,
3,em3002,Models/em3000/em3002.model,0,0,0,0,180,0,0.01,0.01,0.01,
3,em3003,Models/em3000/em3003.model,0,0,0,0,180,0,0.01,0.01,0.01,
3,CityOfRuinEntry1,Models/World/CityOfRuinEntry/CityOfRuinEntry1.model,0,0,0,0,0,0,1,1,1,
