Level, Tag, Path, Count
STATIC, UI_Loading_Fade, UI/Loading/Loading_Fade.dds, 1
LOADING, UI_Loading_BackGround, UI/Loading/Loading_BackGround.dds, 1
LOADING, UI_Loading_Pixel, UI/Loading/Loading_Pixel.dds, 1
LOADING, UI_Loading_Logo, UI/Loading/Loading_Logo.dds, 1
Title, UI_Title_BackGround, UI/Title/Title_BackGround.dds, 1
Title, UI_Title_HUD, UI/Title/Title_HUD.dds, 1
STATIC, Skybox_Default, Sky/CubeMap4.dds, 1
GAMEPLAY, Effect_Spark, Texture/Effect/Spark/Spark_%d.dds, 30
GAMEPLAY, Effect_Spark2, Texture/Effect/Spark2/Spark2_%d.dds, 30
GAMEPLAY, UI_Hp_Bar, UI/HUD/UI_Hp_Bar.png, 1
GAMEPLAY, Fire_Flash, Texture/Effect/FireFlash/FireFlash.dds, 1
